service,use_case,iterations,http_reqs,nb_requests_in_parallel,avg_ram_in_MB,avg_cpu_cores,avg_ram_per_request_in_MB,avg_cpu_core_per_request
go-pgx,aggregation-code-side,505.9,348038.0,580.0633333333333,476.44540876780394,8.001140091995605,0.8213679117242438,0.013793562930477028
go-pgx,default,1220.0,819840.0,1366.4,910.2317778056055,6.33880508052678,0.6661532331715496,0.004639055240432362
go-pgx,mysql,525.5,355155.0,591.925,1019.8352250339998,4.490220027186543,1.7229129113215353,0.00758579216486302
go-pgx,no-index,1045.0,702240.0,1170.4,720.4925484615471,6.3739746316741135,0.6155951370997497,0.00544597969213441
go-pgx,no-pagination,1228.1,799493.1,1332.4885,923.2346243667823,6.365183523025684,0.692864984851113,0.004776914414665255
go-pgx,orm-loop,1220.1,819907.2,1366.5120000000002,890.3463888077843,6.368829720965627,0.6515467034374993,0.004660646756827328
jvm-kotlin-spring,aggregation-code-side,772.4,519052.8,865.0880000000001,8663.149569646755,5.472577950085677,10.014183030682144,0.006326036137463098
jvm-kotlin-spring,default,1060.8,712857.6,1188.096,1596.3829556123515,4.225890939331502,1.3436481190176142,0.0035568598323127945
jvm-kotlin-spring,mysql,499.9,336602.9,561.0048333333333,1971.4698407044318,4.370959711116155,3.5141762130470626,0.007791304907562274
jvm-kotlin-spring,no-index,931.6,626035.2,1043.392,1277.850569568395,4.224286988394789,1.2247080383675502,0.00404860971561483
jvm-kotlin-spring,no-pagination,1057.8,688627.8,1147.713,1501.753286869754,4.227582502272825,1.3084745810753682,0.0036834840262964914
jvm-kotlin-spring,orm-loop,1058.9,711580.8,1185.968,1638.5268205227312,4.206857586045845,1.3815944616741187,0.003547193167139286
node-express-sequelize,aggregation-code-side,200.0,145034.0,241.72333333333336,389.4244456079751,0.981951716733138,1.61103373943203,0.004062295944674233
node-express-sequelize,default,798.4,536524.8,894.208,586.4233338056652,2.579379324451236,0.6558019317716518,0.002884540648765428
node-express-sequelize,mysql,497.8,335835.9,559.7265,1039.9958660925465,4.274572607011374,1.858042930060568,0.007636895174717248
node-express-sequelize,no-index,740.0,497280.0,828.8,513.5109636878595,2.8719864113317612,0.6195836917083247,0.003465234569657048
node-express-sequelize,no-pagination,810.9,527895.9,879.8264999999999,605.9599254560286,2.721075281966267,0.6887266130947735,0.0030927407641918804
node-express-sequelize,orm-loop,760.0,505400.0,842.3333333333334,580.0717266545875,2.4371902912563996,0.688648666388509,0.0028933798471583692
php-symfony,aggregation-code-side,80.0,53760.0,89.6,602.0607464625739,6.949332827967571,6.719427973912655,0.07755951816928093
php-symfony,default,80.0,53782.9,89.63816666666666,551.2523037220205,6.7687283084344045,6.149749869070138,0.0755116772256729
php-symfony,mysql,80.0,58216.1,97.02683333333333,1071.9741527326273,6.767315543549122,11.048223629538503,0.06974684539379095
php-symfony,no-index,80.0,53760.0,89.6,531.5535852299888,6.766865844214488,5.932517692298982,0.07552305629703669
php-symfony,no-pagination,80.0,55417.4,92.36233333333334,572.1284680452676,7.097048445983662,6.194391668089094,0.07683920695648293
php-symfony,orm-loop,80.0,53760.0,89.6,546.5243195936388,6.766262136079659,6.099601781179005,0.0755163184830319
rust-actix-sqlx,aggregation-code-side,396.6,269787.4,449.64566666666667,624.0967105590051,3.17893194400047,1.3879744804071765,0.007069860069077659
rust-actix-sqlx,default,1219.6,819571.2,1365.952,923.2910283498674,6.483553230007755,0.6759322643474056,0.004746545434984359
rust-actix-sqlx,no-index,1041.0,699552.0,1165.92,715.0222986654253,6.4900251030738385,0.6132687479976544,0.005566441182134141
rust-actix-sqlx,no-pagination,1201.5,782176.5,1303.6275,1188.099491260961,6.61234392240199,0.9113795860097773,0.00507226483209505
rust-actix-sqlx,orm-loop,1218.7,818966.4,1364.944,916.2619625790372,6.4890418709831055,0.6712817248026566,0.004754071867404894
